lr-Adam,step,train_loss,epoch,accuracy
0.0003,49,,,
,49,0.6130499839782715,0,
0.0003,99,,,
,99,0.4439317584037781,0,
0.0003,149,,,
,149,0.541022539138794,0,
,149,,0,0.4959999918937683
0.0003,199,,,
,199,0.6167726516723633,1,
0.0003,249,,,
,249,0.4657120406627655,1,
0.0003,299,,,
,299,0.4262373447418213,1,
,299,,1,0.41600000858306885
0.0003,349,,,
,349,0.15842752158641815,2,
0.0003,399,,,
,399,0.06892411410808563,2,
0.0003,449,,,
,449,0.15598903596401215,2,
,449,,2,0.6079999804496765
0.0003,499,,,
,499,0.34252655506134033,3,
0.0003,549,,,
,549,0.07797356694936752,3,
0.0003,599,,,
,599,0.046860553324222565,3,
,599,,3,0.47999998927116394
0.0003,649,,,
,649,0.021282702684402466,4,
0.0003,699,,,
,699,0.7275198698043823,4,
0.0003,749,,,
,749,0.18469002842903137,4,
,749,,4,0.4480000138282776
2.9999999999999997e-05,799,,,
,799,0.3703854978084564,5,
2.9999999999999997e-05,849,,,
,849,0.2730250954627991,5,
2.9999999999999997e-05,899,,,
,899,0.016416266560554504,5,
,899,,5,0.40799999237060547
2.9999999999999997e-05,949,,,
,949,0.24575921893119812,6,
2.9999999999999997e-05,999,,,
,999,0.2687714397907257,6,
2.9999999999999997e-05,1049,,,
,1049,0.3758194148540497,6,
,1049,,6,0.4000000059604645
2.9999999999999997e-05,1099,,,
,1099,0.45655757188796997,7,
2.9999999999999997e-05,1149,,,
,1149,0.06834623962640762,7,
2.9999999999999997e-05,1199,,,
,1199,0.3477391004562378,7,
,1199,,7,0.3840000033378601
2.9999999999999997e-05,1249,,,
,1249,0.6827394962310791,8,
2.9999999999999997e-05,1299,,,
,1299,0.006487518548965454,8,
2.9999999999999997e-05,1349,,,
,1349,0.037494853138923645,8,
,1349,,8,0.41600000858306885
2.9999999999999997e-05,1399,,,
,1399,0.019548416137695312,9,
2.9999999999999997e-05,1449,,,
,1449,0.08568298816680908,9,
2.9999999999999997e-05,1499,,,
,1499,0.040129780769348145,9,
,1499,,9,0.40799999237060547
,1500,,9,0.40799999237060547
