lr-Adam,step,train_loss,epoch,accuracy
0.0003,49,,,
,49,0.6113279461860657,0,
0.0003,99,,,
,99,0.5606656074523926,0,
0.0003,149,,,
,149,0.5743160843849182,0,
,149,,0,0.4880000054836273
0.0003,199,,,
,199,0.6534477472305298,1,
0.0003,249,,,
,249,0.5920968651771545,1,
0.0003,299,,,
,299,0.3759329319000244,1,
,299,,1,0.42399999499320984
0.0003,349,,,
,349,0.3938083052635193,2,
0.0003,399,,,
,399,0.5240460634231567,2,
0.0003,449,,,
,449,0.6386440992355347,2,
,449,,2,0.527999997138977
0.0003,499,,,
,499,0.5205929279327393,3,
0.0003,549,,,
,549,0.6277991533279419,3,
0.0003,599,,,
,599,0.5761587619781494,3,
,599,,3,0.5120000243186951
0.0003,649,,,
,649,0.33303019404411316,4,
0.0003,699,,,
,699,0.6487517952919006,4,
0.0003,749,,,
,749,0.3471117615699768,4,
,749,,4,0.41600000858306885
0.0003,799,,,
,799,0.4598679542541504,5,
0.0003,849,,,
,849,0.7873929738998413,5,
0.0003,899,,,
,899,0.1915174424648285,5,
,899,,5,0.5600000023841858
0.0003,949,,,
,949,0.5595555305480957,6,
0.0003,999,,,
,999,0.3107399344444275,6,
0.0003,1049,,,
,1049,0.8347198963165283,6,
,1049,,6,0.47200000286102295
0.0003,1099,,,
,1099,0.5003216862678528,7,
0.0003,1149,,,
,1149,0.4255867600440979,7,
0.0003,1199,,,
,1199,0.5003739595413208,7,
,1199,,7,0.5680000185966492
2.9999999999999997e-05,1249,,,
,1249,0.6794851422309875,8,
2.9999999999999997e-05,1299,,,
,1299,0.46292227506637573,8,
2.9999999999999997e-05,1349,,,
,1349,0.8173565864562988,8,
,1349,,8,0.6000000238418579
2.9999999999999997e-05,1399,,,
,1399,0.48930540680885315,9,
2.9999999999999997e-05,1449,,,
,1449,0.6532707214355469,9,
2.9999999999999997e-05,1499,,,
,1499,0.5554624795913696,9,
,1499,,9,0.6240000128746033
,1500,,9,0.6240000128746033
