Started Logging. 2022-07-09 16:46:15.803500

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.8690717220306396, -0.10092563182115555, 0.6974297165870667], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-1', 'position': [2.822017192840576, 0.28548678755760193, 0.689725935459137], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.8690717220306396, -0.10092563182115555, 0.6974297165870667], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-2', 'position': [0.06347513198852539, 0.030906949192285538, 0.6964835524559021], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [2.822017192840576, 0.28548678755760193, 0.689725935459137], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-0', 'position': [-2.8690717220306396, -0.10092563182115555, 0.6974297165870667], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [2.822017192840576, 0.28548678755760193, 0.689725935459137], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-2', 'position': [0.06347513198852539, 0.030906949192285538, 0.6964835524559021], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [0.06347513198852539, 0.030906949192285538, 0.6964835524559021], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '0-0', 'position': [-2.8690717220306396, -0.10092563182115555, 0.6974297165870667], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [0.06347513198852539, 0.030906949192285538, 0.6964835524559021], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '0-1', 'position': [2.822017192840576, 0.28548678755760193, 0.689725935459137], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [0.22443071007728577, -0.010185714811086655, 0.6921608448028564], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-2', 'position': [-2.736316204071045, -0.23709920048713684, 0.701401948928833], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [0.22443071007728577, -0.010185714811086655, 0.6921608448028564], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-1', 'position': [2.990894317626953, 0.19405615329742432, 0.6986214518547058], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.990894317626953, 0.19405615329742432, 0.6986214518547058], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-0', 'position': [0.22443071007728577, -0.010185714811086655, 0.6921608448028564], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.736316204071045, -0.23709920048713684, 0.701401948928833], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '1-0', 'position': [0.22443071007728577, -0.010185714811086655, 0.6921608448028564], 'color': 'purple', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
