Started Logging. 2022-07-09 14:17:28.758480

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-2', 'position': [0.08031307905912399, -0.08967990428209305, 0.3544289171695709], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-3', 'position': [1.508864402770996, -0.015039832331240177, 0.3645053505897522], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-2', 'position': [0.08031307905912399, -0.08967990428209305, 0.3544289171695709], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-3', 'position': [1.508864402770996, -0.015039832331240177, 0.3645053505897522], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [0.08031307905912399, -0.08967990428209305, 0.3544289171695709], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [0.08031307905912399, -0.08967990428209305, 0.3544289171695709], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [0.08031307905912399, -0.08967990428209305, 0.3544289171695709], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.508864402770996, -0.015039832331240177, 0.3645053505897522], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.508864402770996, -0.015039832331240177, 0.3645053505897522], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-2.718268632888794, -0.20668679475784302, 0.3843303620815277], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.508864402770996, -0.015039832331240177, 0.3645053505897522], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-1.3205792903900146, -0.25703173875808716, 0.35563573241233826], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.508864402770996, -0.015039832331240177, 0.3645053505897522], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-2', 'position': [0.08031307905912399, -0.08967990428209305, 0.3544289171695709], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-1', 'position': [-2.929144859313965, -0.09821400791406631, 0.3523128032684326], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-2', 'position': [1.303249716758728, 0.2837064266204834, 0.3781359791755676], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-3', 'position': [2.7246615886688232, 0.32183003425598145, 0.368585467338562], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-4', 'position': [-0.1677364706993103, 0.14483344554901123, 0.35634738206863403], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-2.929144859313965, -0.09821400791406631, 0.3523128032684326], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-0', 'position': [-1.4751797914505005, 0.1071099042892456, 0.36076468229293823], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
